date,ward,day_of_week,is_weekend,month,fill_level,capacity_kg,previous_day_kg,avg_3_day_kg,avg_7_day_kg,waste_generated_kg
2025-01-01,Ward 12,2,0,1,65.72,120.0,77.9,82.0,82.0,72.01
2025-01-02,Ward 12,3,0,1,64.76,120.0,72.01,72.01,72.01,84.39
2025-01-03,Ward 12,4,0,1,57.96,120.0,84.39,78.2,78.2,81.55
2025-01-04,Ward 12,5,1,1,66.81,120.0,81.55,79.32,79.32,93.88
2025-01-05,Ward 12,6,1,1,72.77,120.0,93.88,86.61,82.96,92.4
2025-01-06,Ward 12,0,0,1,76.45,120.0,92.4,89.28,84.85,94.57
2025-01-07,Ward 12,1,0,1,73.56,120.0,94.57,93.62,86.47,91.49
2025-01-08,Ward 12,2,0,1,73.89,120.0,91.49,92.82,87.18,80.81
2025-01-09,Ward 12,3,0,1,67.62,120.0,80.81,88.96,88.44,80.08
2025-01-10,Ward 12,4,0,1,69.77,120.0,80.08,84.13,87.83,91.62
2025-01-11,Ward 12,5,1,1,70.7,120.0,91.62,84.17,89.26,98.37
2025-01-12,Ward 12,6,1,1,81.4,120.0,98.37,90.02,89.91,101.44
2025-01-13,Ward 12,0,0,1,74.81,120.0,101.44,97.14,91.2,92.9
2025-01-14,Ward 12,1,0,1,74.98,120.0,92.9,97.57,90.96,88.37
2025-01-15,Ward 12,2,0,1,71.93,120.0,88.37,94.24,90.51,88.91
2025-01-16,Ward 12,3,0,1,80.87,120.0,88.91,90.06,91.67,89.49
2025-01-17,Ward 12,4,0,1,67.91,120.0,89.49,88.92,93.01,92.06
2025-01-18,Ward 12,5,1,1,74.95,120.0,92.06,90.15,93.08,111.63
2025-01-19,Ward 12,6,1,1,81.9,120.0,111.63,97.73,94.97,103.95
2025-01-20,Ward 12,0,0,1,74.18,120.0,103.95,102.55,95.33,101.5
2025-01-21,Ward 12,1,0,1,80.7,120.0,101.5,105.69,96.56,95.13
2025-01-22,Ward 12,2,0,1,70.2,120.0,95.13,100.19,97.52,92.08
2025-01-23,Ward 12,3,0,1,72.46,120.0,92.08,96.24,97.98,95.43
2025-01-24,Ward 12,4,0,1,78.05,120.0,95.43,94.21,98.83,103.59
2025-01-25,Ward 12,5,1,1,81.51,120.0,103.59,97.03,100.47,112.33
2025-01-26,Ward 12,6,1,1,84.29,120.0,112.33,103.78,100.57,115.28
2025-01-27,Ward 12,0,0,1,77.16,120.0,115.28,110.4,102.19,102.15
2025-01-28,Ward 12,1,0,1,74.98,120.0,102.15,109.92,102.28,89.54
2025-01-29,Ward 12,2,0,1,69.13,120.0,89.54,102.32,101.49,99.26
2025-01-30,Ward 12,3,0,1,71.44,120.0,99.26,96.98,102.51,104.09
2025-01-31,Ward 12,4,0,1,69.97,120.0,104.09,97.63,103.75,104.12
2025-02-01,Ward 12,5,1,2,79.21,120.0,104.12,102.49,103.82,116.93
2025-02-02,Ward 12,6,1,2,88.89,120.0,116.93,108.38,104.48,120.06
2025-02-03,Ward 12,0,0,2,85.29,120.0,120.06,113.7,105.16,105.44
2025-02-04,Ward 12,1,0,2,83.4,120.0,105.44,114.14,105.63,95.93
2025-02-05,Ward 12,2,0,2,67.58,120.0,95.93,107.14,106.55,87.33
2025-02-06,Ward 12,3,0,2,64.71,120.0,87.33,96.23,104.84,97.65
2025-02-07,Ward 12,4,0,2,75.61,120.0,97.65,93.64,103.92,109.73
2025-02-08,Ward 12,5,1,2,79.3,120.0,109.73,98.24,104.72,117.47
2025-02-09,Ward 12,6,1,2,88.76,120.0,117.47,108.28,104.8,114.65
2025-02-10,Ward 12,0,0,2,86.39,120.0,114.65,113.95,104.03,103.28
2025-02-11,Ward 12,1,0,2,76.13,120.0,103.28,111.8,103.72,93.84
2025-02-12,Ward 12,2,0,2,66.85,120.0,93.84,103.92,103.42,96.72
2025-02-13,Ward 12,3,0,2,72.04,120.0,96.72,97.95,104.76,99.83
2025-02-14,Ward 12,4,0,2,78.48,120.0,99.83,96.8,105.07,110.47
2025-02-15,Ward 12,5,1,2,85.16,120.0,110.47,102.34,105.18,117.86
2025-02-16,Ward 12,6,1,2,83.72,120.0,117.86,109.39,105.24,116.52
2025-02-17,Ward 12,0,0,2,76.68,120.0,116.52,114.95,105.5,99.16
2025-02-18,Ward 12,1,0,2,69.1,120.0,99.16,111.18,104.91,88.91
2025-02-19,Ward 12,2,0,2,72.16,120.0,88.91,101.53,104.21,88.25
2025-02-20,Ward 12,3,0,2,67.91,120.0,88.25,92.11,103.0,104.67
2025-02-21,Ward 12,4,0,2,76.91,120.0,104.67,93.94,103.69,114.34
2025-02-22,Ward 12,5,1,2,79.27,120.0,114.34,102.42,104.24,118.54
2025-02-23,Ward 12,6,1,2,81.46,120.0,118.54,112.52,104.34,115.59
2025-02-24,Ward 12,0,0,2,88.81,120.0,115.59,116.16,104.21,99.2
2025-02-25,Ward 12,1,0,2,77.91,120.0,99.2,111.11,104.21,98.04
2025-02-26,Ward 12,2,0,2,72.13,120.0,98.04,104.28,105.52,89.14
2025-02-27,Ward 12,3,0,2,70.64,120.0,89.14,95.46,105.65,95.46
2025-02-28,Ward 12,4,0,2,74.87,120.0,95.46,94.21,104.33,107.38
2025-03-01,Ward 12,5,1,3,88.17,120.0,107.38,97.33,103.34,117.53
2025-03-02,Ward 12,6,1,3,80.54,120.0,117.53,106.79,103.19,118.74
2025-03-03,Ward 12,0,0,3,87.42,120.0,118.74,114.55,103.64,119.23
2025-03-04,Ward 12,1,0,3,90.76,120.0,119.23,118.5,106.5,108.3
2025-03-05,Ward 12,2,0,3,87.98,120.0,108.3,115.42,107.97,97.17
2025-03-06,Ward 12,3,0,3,71.43,120.0,97.17,108.23,109.12,97.11
2025-03-07,Ward 12,4,0,3,72.65,120.0,97.11,100.86,109.35,100.65
2025-03-08,Ward 12,5,1,3,79.69,120.0,100.65,98.31,108.39,115.59
2025-03-09,Ward 12,6,1,3,77.26,120.0,115.59,104.45,108.11,111.79
2025-03-10,Ward 12,0,0,3,84.12,120.0,111.79,109.34,107.12,114.33
2025-03-11,Ward 12,1,0,3,93.91,120.0,114.33,113.9,106.42,122.81
2025-03-12,Ward 12,2,0,3,90.59,120.0,122.81,116.31,108.49,104.33
2025-03-13,Ward 12,3,0,3,67.85,120.0,104.33,113.82,109.52,106.89
2025-03-14,Ward 12,4,0,3,75.83,120.0,106.89,111.34,110.91,110.91
2025-03-15,Ward 12,5,1,3,79.02,120.0,110.91,107.38,112.38,120.62
2025-03-16,Ward 12,6,1,3,92.67,120.0,120.62,112.81,113.1,123.61
2025-03-17,Ward 12,0,0,3,88.16,120.0,123.61,118.38,114.79,109.26
2025-03-18,Ward 12,1,0,3,72.81,120.0,109.26,117.83,114.06,99.63
2025-03-19,Ward 12,2,0,3,75.7,120.0,99.63,110.83,110.75,111.67
2025-03-20,Ward 12,3,0,3,83.14,120.0,111.67,106.85,111.8,116.27
2025-03-21,Ward 12,4,0,3,82.48,120.0,116.27,109.19,113.14,111.03
2025-03-22,Ward 12,5,1,3,77.32,120.0,111.03,112.99,113.16,117.37
