feature,importance
numeric__previous_day_kg,0.5992876135910721
numeric__avg_7_day_kg,0.2275942942855979
numeric__day_of_week,0.09649718455953454
numeric__avg_3_day_kg,0.02987013109944197
numeric__fill_level,0.02088660629297777
numeric__month,0.01054545003309717
numeric__is_weekend,0.005314184212903456
numeric__capacity_kg,0.004730451432010918
ward__ward_Ward 18,0.0011219906580381548
ward__ward_Ward 12,0.001077587567724359
ward__ward_Ward 54,0.0010406288421135805
ward__ward_Ward 42,0.0010162645527792722
ward__ward_Ward 27,0.0005729444585360822
ward__ward_Ward 31,0.00044466841417280294
